net,length_um
net57,777.11µm
net418,672.22µm
net956,650.56µm
net333,638.63µm
clknet_0_wb_clk_i,628µm
net13,627.66µm
net12,617.98µm
net56,606.025µm
net10,578.71µm
net192,567.72µm
net11,567.25µm
wbs_sel_i[1],560.3µm
net59,559.7µm
wbs_sel_i[0],558.94µm
net770,556.26µm
wbs_sel_i[2],554.68µm
wbs_sel_i[3],550.34µm
net17,531.82µm
net14,529.43µm
wbs_adr_i[29],527.14µm
wbs_adr_i[21],525.79µm
net9,525.36µm
net18,525.2µm
net204,525.06µm
net500,524.84µm
net321,522.01µm
net7,519.56µm
net6,519.26µm
net8,518.67µm
wbs_adr_i[31],516.54µm
wbs_adr_i[22],516.24µm
wbs_adr_i[30],514.94µm
wbs_adr_i[28],514.88µm
net16,514.68µm
net21,514.38µm
net4,513.67µm
wbs_adr_i[27],512.6µm
wbs_adr_i[23],511.7µm
net5,511.52µm
wbs_adr_i[24],511.03µm
wbs_adr_i[25],511µm
wbs_adr_i[20],510.35µm
wbs_adr_i[26],509.67µm
net20,507.76µm
net19,504.37µm
net317,501.94µm
net22,500.82µm
net15,497.11µm
net3,491.12µm
net325,487.87µm
net336,486.97µm
net1,476.315µm
net384,471.51µm
net216,463.315µm
net483,457.35µm
net496,456.18µm
net478,448.92µm
net342,444.04µm
net324,429.98µm
pwm_inst.IRQ,414.72µm
wb_clk_i,401.1µm
clknet_3_2_0_wb_clk_i,394.2µm
net355,392.46µm
net349,392.16µm
net337,385.28µm
net318,381.6µm
net332,379.345µm
net351,379.09µm
net440,375.92µm
net330,375.18µm
net188,375.16µm
net320,370.14µm
net329,369.46µm
net133,367µm
clknet_3_7_0_wb_clk_i,366.3µm
net176,363.605µm
net175,362.61µm
net346,361.74µm
net219,361.41µm
_2541_,357.27µm
net213,356.88µm
net476,356.34µm
clknet_3_0_0_wb_clk_i,351.88µm
net327,348.855µm
_1623_,345.82µm
net328,344.06µm
net341,343.725µm
net202,339.94µm
uart_inst.instance_to_wrap.rx_done,338.78µm
_1459_,337.61µm
uart_inst.IRQ,333.72µm
net185,332.85µm
net255,332.08µm
net322,326.9µm
net350,325.82µm
net335,324.65µm
net118,316.48µm
_2540_,316.1µm
net46,314.44µm
net55,314.42µm
net281,311.74µm
net231,311.31µm
net24,310.71µm
net353,309.82µm
net23,303.38µm
net62,301.94µm
net265,301.47µm
uart_inst.glitch_filter_en,300.515µm
net211,300.32µm
net115,296.99µm
clknet_3_5_0_wb_clk_i,296.925µm
net340,296.28µm
net119,294.34µm
net158,293.915µm
net110,293.82µm
net45,291.6µm
net124,290.42µm
clknet_3_1_0_wb_clk_i,286.645µm
net181,286.165µm
net36,285.13µm
net182,285.015µm
net269,284.32µm
net352,284.3µm
clknet_leaf_43_wb_clk_i,282.14µm
net29,281.6µm
net25,281.38µm
pwm_inst.RELOAD_REG\[5\],281.005µm
net42,280.22µm
net33,279.16µm
_2073_,278.76µm
_2743_,277.86µm
net26,276.95µm
net41,276.68µm
net47,276.54µm
net32,276.17µm
net44,276.16µm
net48,275.4µm
net43,274.86µm
net30,274.57µm
net405,274.36µm
_1303_,274.25µm
net28,273.94µm
net31,273.34µm
net38,273.21µm
net40,272.41µm
net37,272.38µm
net34,272.37µm
net345,270.87µm
net39,270.77µm
_1955_,270.56µm
net162,270.01µm
net27,269.92µm
pwm_inst.RELOAD_REG\[8\],269.765µm
net344,267.53µm
net315,266.01µm
net183,265.975µm
net207,263.77µm
_3004_,263.575µm
clknet_3_4_0_wb_clk_i,263.4µm
net83,262.86µm
net309,259.57µm
net253,257.86µm
net174,257.72µm
net195,257.62µm
_3010_,257.375µm
net85,256.64µm
net102,255.89µm
net69,255.42µm
net374,254.87µm
net87,254.74µm
net225,253.62µm
net78,252.53µm
net116,252.45µm
net236,251.985µm
_2912_,251.11µm
_1461_,250.015µm
net227,249.79µm
net74,249.69µm
net186,249.27µm
net112,248.59µm
uart_inst.CFG_REG\[2\],247.98µm
net122,247.62µm
net82,247.42µm
pwm_inst.TMR_WIRE\[6\],247.28µm
clknet_3_3_0_wb_clk_i,246.66µm
_1954_,245.85µm
net276,244.33µm
_1429_,244.275µm
net179,243.7µm
net86,243.44µm
net189,242.255µm
net81,240.9µm
net198,240.83µm
net252,240.71µm
net292,240.41µm
net90,239.72µm
net97,239.56µm
net167,239.235µm
pwm_inst.TMR_WIRE\[3\],238.865µm
clknet_3_6_0_wb_clk_i,238.78µm
net415,238.75µm
net280,238.485µm
_1430_,238.38µm
pwm_inst.RELOAD_REG\[3\],237.28µm
net326,237.12µm
net414,237µm
net177,236.92µm
net303,236.015µm
_3022_,235.42µm
pwm_inst.RELOAD_REG\[7\],234.74µm
_1484_,234.47µm
net154,233.065µm
clknet_leaf_22_wb_clk_i,231.22µm
net106,229.32µm
_1292_,227.98µm
_3038_,227.935µm
net104,227.71µm
net241,227.43µm
net266,227.24µm
_2509_,225.7µm
net310,225.4µm
_2692_,225.16µm
net105,224.075µm
net168,223.48µm
net223,223.47µm
net299,223.34µm
net88,222.8µm
_2592_,222.62µm
_1518_,221.82µm
net244,221.34µm
_3045_,221.24µm
net278,220.82µm
net224,220.32µm
net271,220.3µm
net108,220.07µm
net366,219.895µm
_3036_,219.62µm
net235,219.46µm
net152,218.1µm
net63,217.02µm
net308,216.94µm
net338,216.705µm
net304,216.5µm
net165,215.34µm
clknet_leaf_58_wb_clk_i,215.335µm
_3032_,215.04µm
net146,215.02µm
_3046_,213.78µm
net91,213.74µm
net84,213.68µm
_3031_,212.45µm
net290,211.575µm
pwm_inst.TMR_WIRE\[5\],210.72µm
_3037_,210.595µm
_1892_,209.3µm
net70,209.12µm
_2917_,208.91µm
net275,208.83µm
net305,208.54µm
net191,207.96µm
net199,207.38µm
net109,207.28µm
net356,207.14µm
net307,206.98µm
net277,206.97µm
net430,206.74µm
net294,206.415µm
net316,206.1µm
net233,206.01µm
net424,206µm
net92,205.7µm
net428,205.24µm
net247,205.225µm
net293,204.93µm
_3034_,204.82µm
net258,204.15µm
net254,204.02µm
pwm_inst.RELOAD_REG\[1\],203.8µm
net67,203.58µm
clknet_leaf_37_wb_clk_i,202.82µm
pwm_inst.RELOAD_REG\[6\],201.875µm
net65,201.84µm
net268,200.92µm
net259,200.505µm
net101,200µm
_3039_,199.82µm
net134,199.56µm
pwm_inst.TMR_WIRE\[29\],199.295µm
clknet_leaf_9_wb_clk_i,199.115µm
net123,198.98µm
uart_inst.CFG_REG\[4\],198.77µm
uart_inst.CFG_REG\[5\],198.615µm
_2549_,197.44µm
_1218_,197.26µm
net49,197.12µm
net80,196.84µm
_3024_,195.58µm
net273,195.415µm
net399,195.06µm
_3017_,194.66µm
net169,194.285µm
net203,193.58µm
clknet_leaf_64_wb_clk_i,193.46µm
net263,193.36µm
net209,193.165µm
net161,193.08µm
net150,193.055µm
net76,192.975µm
pwm_inst.TMR_WIRE\[21\],192.85µm
pwm_inst.timeout_flag,192.43µm
net516,192.34µm
net194,192.205µm
_3041_,192.09µm
dat_o\[2\]\[29\],190.8µm
net256,189.21µm
dat_o\[2\]\[20\],187.71µm
net93,187.38µm
pwm_inst.instance_to_wrap.TMREN_PE.in,187.16µm
_2251_,186.79µm
net286,186.43µm
net246,186.18µm
net64,185.84µm
net217,185.465µm
net243,185.195µm
