Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_266_1575,VPWR,li1,730.2500,737.1200,1.800000
FILLER_266_1569,VPWR,li1,728.6400,737.1200,1.800000
FILLER_266_1565,VPWR,li1,726.1100,737.1200,1.800000
FILLER_266_1553,VPWR,li1,722.6600,737.1200,1.800000
FILLER_266_1541,VPWR,li1,717.1400,737.1200,1.800000
FILLER_266_1537,VPWR,li1,713.2300,737.1200,1.800000
FILLER_266_1525,VPWR,li1,709.7800,737.1200,1.800000
FILLER_266_1513,VPWR,li1,704.2600,737.1200,1.800000
FILLER_266_1509,VPWR,li1,700.3500,737.1200,1.800000
FILLER_266_1497,VPWR,li1,696.9000,737.1200,1.800000
FILLER_266_1485,VPWR,li1,691.3800,737.1200,1.800000
FILLER_266_1472,VPWR,li1,685.4000,737.1200,1.800000
FILLER_266_1460,VPWR,li1,679.8800,737.1200,1.800000
FILLER_266_1453,VPWR,li1,674.5900,737.1200,1.800000
FILLER_266_1441,VPWR,li1,671.1400,737.1200,1.800000
FILLER_266_1429,VPWR,li1,665.6200,737.1200,1.800000
FILLER_266_1425,VPWR,li1,661.7100,737.1200,1.800000
FILLER_266_1413,VPWR,li1,658.2600,737.1200,1.800000
FILLER_266_1401,VPWR,li1,652.7400,737.1200,1.800000
FILLER_266_1397,VPWR,li1,648.8300,737.1200,1.800000
FILLER_266_1385,VPWR,li1,645.3800,737.1200,1.800000
FILLER_266_1373,VPWR,li1,639.8600,737.1200,1.800000
FILLER_266_1369,VPWR,li1,635.9500,737.1200,1.800000
FILLER_266_1357,VPWR,li1,632.5000,737.1200,1.800000
FILLER_266_1345,VPWR,li1,626.9800,737.1200,1.800000
FILLER_266_1341,VPWR,li1,623.0700,737.1200,1.800000
FILLER_266_1329,VPWR,li1,619.6200,737.1200,1.800000
FILLER_266_1317,VPWR,li1,614.1000,737.1200,1.800000
FILLER_266_1313,VPWR,li1,610.1900,737.1200,1.800000
FILLER_266_1301,VPWR,li1,606.7400,737.1200,1.800000
FILLER_266_1289,VPWR,li1,601.2200,737.1200,1.800000
FILLER_266_1285,VPWR,li1,597.3100,737.1200,1.800000
FILLER_266_1273,VPWR,li1,593.8600,737.1200,1.800000
FILLER_266_1261,VPWR,li1,588.3400,737.1200,1.800000
FILLER_266_1257,VPWR,li1,584.4300,737.1200,1.800000
FILLER_266_1245,VPWR,li1,580.9800,737.1200,1.800000
FILLER_266_1233,VPWR,li1,575.4600,737.1200,1.800000
FILLER_266_1229,VPWR,li1,571.5500,737.1200,1.800000
FILLER_266_1217,VPWR,li1,568.1000,737.1200,1.800000
FILLER_266_1205,VPWR,li1,562.5800,737.1200,1.800000
FILLER_266_1185,VPWR,li1,551.3100,737.1200,1.800000
FILLER_266_1177,VPWR,li1,548.7800,737.1200,1.800000
FILLER_266_1173,VPWR,li1,545.7900,737.1200,1.800000
FILLER_266_1161,VPWR,li1,542.3400,737.1200,1.800000
FILLER_266_1149,VPWR,li1,536.8200,737.1200,1.800000
FILLER_266_1145,VPWR,li1,532.9100,737.1200,1.800000
FILLER_266_1133,VPWR,li1,529.4600,737.1200,1.800000
FILLER_266_1121,VPWR,li1,523.9400,737.1200,1.800000
FILLER_266_1117,VPWR,li1,520.0300,737.1200,1.800000
FILLER_266_1105,VPWR,li1,516.5800,737.1200,1.800000
FILLER_266_1093,VPWR,li1,511.0600,737.1200,1.800000
FILLER_266_1089,VPWR,li1,507.1500,737.1200,1.800000
FILLER_266_1077,VPWR,li1,503.7000,737.1200,1.800000
FILLER_266_1065,VPWR,li1,498.1800,737.1200,1.800000
FILLER_266_1061,VPWR,li1,494.2700,737.1200,1.800000
FILLER_266_1049,VPWR,li1,490.8200,737.1200,1.800000
FILLER_266_1037,VPWR,li1,485.3000,737.1200,1.800000
FILLER_266_1033,VPWR,li1,481.3900,737.1200,1.800000
FILLER_266_1021,VPWR,li1,477.9400,737.1200,1.800000
FILLER_266_1009,VPWR,li1,472.4200,737.1200,1.800000
FILLER_266_1005,VPWR,li1,468.5100,737.1200,1.800000
FILLER_266_993,VPWR,li1,465.0600,737.1200,1.800000
FILLER_266_981,VPWR,li1,459.5400,737.1200,1.800000
FILLER_266_977,VPWR,li1,455.6300,737.1200,1.800000
FILLER_266_965,VPWR,li1,452.1800,737.1200,1.800000
FILLER_266_953,VPWR,li1,446.6600,737.1200,1.800000
FILLER_266_949,VPWR,li1,442.7500,737.1200,1.800000
FILLER_266_941,VPWR,li1,440.2200,737.1200,1.800000
FILLER_266_921,VPWR,li1,429.8700,737.1200,1.800000
FILLER_266_909,VPWR,li1,426.4200,737.1200,1.800000
FILLER_266_897,VPWR,li1,420.9000,737.1200,1.800000
FILLER_266_893,VPWR,li1,416.9900,737.1200,1.800000
FILLER_266_881,VPWR,li1,413.5400,737.1200,1.800000
FILLER_266_869,VPWR,li1,408.0200,737.1200,1.800000
FILLER_266_865,VPWR,li1,404.1100,737.1200,1.800000
FILLER_266_853,VPWR,li1,400.6600,737.1200,1.800000
