net,length_um
io_oeb[14],5.30406mm
io_oeb[13],5.05722mm
io_oeb[15],5.03633mm
io_oeb[12],4.81106mm
io_oeb[16],4.69197mm
io_oeb[11],4.56422mm
io_oeb[17],4.34863mm
io_oeb[10],4.31738mm
io_oeb[9],4.07122mm
io_oeb[18],4.00483mm
io_oeb[8],3.82438mm
io_oeb[23],3.79831mm
io_oeb[19],3.66149mm
io_oeb[24],3.59278mm
io_oeb[7],3.57754mm
io_oeb[22],3.49407mm
io_out[7],3.34698mm
io_oeb[6],3.33138mm
io_oeb[20],3.31815mm
io_oeb[25],3.31284mm
io_in[6],3.2601mm
io_oeb[21],3.21079mm
user_irq[0],3.1761mm
io_oeb[5],3.15118mm
user_irq[1],3.0581mm
io_oeb[26],3.0345mm
io_out[5],3.00468mm
io_oeb[4],2.97098mm
user_irq[2],2.94058mm
wbs_dat_i[5],2.90255mm
wbs_adr_i[16],2.86277mm
wbs_adr_i[21],2.85751mm
wbs_adr_i[17],2.85623mm
wbs_adr_i[18],2.85047mm
wbs_adr_i[19],2.83645mm
wbs_adr_i[22],2.82431mm
wbs_adr_i[20],2.82255mm
wbs_adr_i[25],2.82117mm
wbs_adr_i[27],2.82055mm
wbs_adr_i[24],2.81923mm
wbs_adr_i[23],2.81657mm
wbs_adr_i[28],2.80185mm
wbs_adr_i[26],2.80113mm
io_oeb[3],2.79078mm
wbs_adr_i[29],2.78801mm
wbs_adr_i[30],2.77973mm
wbs_dat_o[12],2.77371mm
wbs_adr_i[31],2.75885mm
io_oeb[27],2.75548mm
wbs_dat_o[6],2.70937mm
wbs_dat_o[7],2.70137mm
wbs_dat_o[4],2.69523mm
io_oeb[2],2.61058mm
wbs_sel_i[2],2.48223mm
io_oeb[28],2.47442mm
io_oeb[1],2.43329mm
wbs_sel_i[1],2.42659mm
wbs_sel_i[0],2.42537mm
wbs_stb_i,2.34241mm
wbs_we_i,2.33643mm
io_oeb[0],2.25217mm
io_oeb[29],2.19676mm
io_oeb[30],1.91912mm
io_oeb[31],1.63896mm
io_oeb[37],1.54701mm
io_oeb[36],1.36988mm
io_oeb[32],1.35641mm
io_oeb[35],1.17733mm
io_oeb[33],1.07717mm
io_oeb[34],935.01µm
wbs_sel_i[3],665.49µm
wbs_dat_o[0],502.85µm
wbs_dat_o[1],482.77µm
wbs_dat_o[2],465.87µm
wbs_dat_o[3],449.87µm
wbs_dat_o[5],427.83µm
wbs_dat_o[8],389.73µm
wbs_dat_o[9],386.85µm
wbs_dat_o[10],375.25µm
wbs_dat_o[11],368.07µm
wbs_dat_o[13],334.77µm
wbs_dat_o[14],324.19µm
wbs_dat_o[15],313.15µm
wbs_cyc_i,305.07µm
wbs_dat_o[16],303.47µm
wbs_dat_o[17],291.53µm
wbs_dat_i[0],284.63µm
wbs_dat_o[18],283.01µm
wbs_dat_i[1],273.05µm
wbs_dat_o[19],269.91µm
wbs_dat_o[20],258.87µm
wbs_dat_i[2],252.41µm
wbs_dat_o[21],248.29µm
wbs_dat_o[22],237.25µm
wbs_dat_i[3],234.03µm
wbs_dat_o[23],226.67µm
wbs_dat_i[4],217.47µm
wbs_dat_o[24],216.99µm
wbs_dat_o[25],208.45µm
wbs_dat_i[6],195.85µm
wbs_dat_o[26],194.31µm
wbs_dat_i[7],184.81µm
wbs_dat_o[27],182.97µm
wbs_dat_i[8],174.23µm
wbs_dat_o[28],172.39µm
wbs_dat_i[10],167.57µm
wbs_dat_i[9],163.87µm
wbs_adr_i[15],161.53µm
wbs_dat_o[29],161.35µm
wbs_dat_o[30],152.13µm
wbs_dat_i[11],141.57µm
wbs_adr_i[14],141.09µm
wbs_dat_o[31],141.09µm
wbs_dat_i[12],130.99µm
wbs_adr_i[13],128.69µm
wbs_dat_i[13],119.95µm
wbs_adr_i[12],118.11µm
wbs_dat_i[14],110.29µm
wbs_adr_i[11],108.43µm
wbs_dat_i[31],102.01µm
wbs_dat_i[15],98.33µm
wbs_adr_i[10],96.49µm
wbs_dat_i[30],90.97µm
wbs_dat_i[16],89.81µm
wbs_adr_i[9],87.97µm
wbs_dat_i[29],80.39µm
wbs_ack_o,79.93µm
wb_rst_i,79.23µm
wb_clk_i,78.53µm
wbs_dat_i[17],76.71µm
wbs_dat_i[28],74.79µm
wbs_adr_i[8],74.41µm
wbs_dat_i[18],65.67µm
wbs_adr_i[7],65.19µm
wbs_adr_i[0],62.45µm
wbs_dat_i[27],58.77µm
wbs_dat_i[19],55.09µm
wbs_adr_i[6],53.47µm
wbs_adr_i[1],48.41µm
wbs_dat_i[26],47.73µm
wbs_dat_i[20],44.05µm
wbs_adr_i[5],42.21µm
wbs_dat_i[25],38.51µm
wbs_dat_i[21],33.93µm
wbs_adr_i[4],31.17µm
wbs_adr_i[2],29.33µm
wbs_dat_i[24],26.11µm
wbs_dat_i[22],22.43µm
wbs_dat_i[23],15.53µm
wbs_adr_i[3],14.61µm
